OBS,Treatment,Plot,Reserve,Replicate,Plant_species,Ant_resident,Classification_Ant,Height
361,CF,Dimona-CF,Dimona,2,Hm,none,,1
362,CF,Dimona-CF,Dimona,2,Hm,none,,2
363,CF,Dimona-CF,Dimona,2,Hm,none,,1
364,CF,Dimona-CF,Dimona,2,Hm,none,,<1
365,CF,Dimona-CF,Dimona,2,Hm,none,,3.5
366,CF,Dimona-CF,Dimona,2,Hm,none,,1
367,CF,Dimona-CF,Dimona,2,Hm,none,,5
368,CF,Dimona-CF,Dimona,2,Hm,none,,4
369,CF,Dimona-CF,Dimona,2,Mg,none,,<1
370,CF,Dimona-CF,Dimona,2,Mm,none,,<1
371,CF,Dimona-CF,Dimona,2,Tm,none,,20
372,CF,Dimona-CF,Dimona,2,Tm,none,,30
373,CF,Dimona-CF,Dimona,2,Tm,none,,30
374,CF,Dimona-CF,Dimona,2,Tm,none,,25
375,CF,Dimona-CF,Dimona,2,Tm,none,,30
376,CF,Dimona-CF,Dimona,2,Tm,none,,<1
377,CF,Dimona-CF,Dimona,2,Ts,none,,20
378,CF,Dimona-CF,Dimona,2,Tb,none,,<1
379,CF,Dimona-CF,Dimona,2,Tb,none,,<1
380,CF,Dimona-CF,Dimona,2,Tm,Pc,Obligate,4
381,CF,Dimona-CF,Dimona,2,Tm,Pc,Obligate,3
382,CF,Dimona-CF,Dimona,2,Tm,Pc,Obligate,1.3
383,CF,Dimona-CF,Dimona,2,Tm,Pc,Obligate,1
384,CF,Dimona-CF,Dimona,2,Tm,Pc,Obligate,1.5
385,CF,Dimona-CF,Dimona,2,Tm,Pc,Obligate,1.2
386,CF,Dimona-CF,Dimona,2,Tm,Pc,Obligate,2
387,CF,Dimona-CF,Dimona,2,Tm,Pc,Obligate,3
388,CF,Dimona-CF,Dimona,2,Tm,Pc,Obligate,1.6
389,CF,Dimona-CF,Dimona,2,Tm,Pc,Obligate,4
390,CF,Dimona-CF,Dimona,2,Tv,Pc,Obligate,1.7
391,CF,Dimona-CF,Dimona,2,Tv,Pc,Obligate,3.5
392,CF,Dimona-CF,Dimona,2,Tm,Pn,Obligate,5.5
393,CF,Dimona-CF,Dimona,2,Tm,Pn,Obligate,3
394,CF,Dimona-CF,Dimona,2,Tm,Pn,Obligate,12
395,CF,Dimona-CF,Dimona,2,Tm,Pn,Obligate,5.5
396,CF,Dimona-CF,Dimona,2,Tm,Pn,Obligate,4.5
397,CF,Dimona-CF,Dimona,2,Cf,Ph13,Opportunist,3
398,CF,Dimona-CF,Dimona,2,Cn,So12,Opportunist,<1
399,CF,Dimona-CF,Dimona,2,Cn,So8,Opportunist,<1
400,CF,Dimona-CF,Dimona,2,Cn,Ws,Opportunist,<1
401,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,3
